,Zip,Population,Density,AverageIncome,City,State,ZipLatitude,ZipLongitude,City_State
0,78741,44935,5912.5,8121.070857905865,austin,tx,30.2259488,-97.7145152,austin-tx
1,78746,26928,1197.332147621165,53746.46550059418,austin,tx,30.296220799999997,-97.8299383,austin-tx
2,78704,42117,4841.034482758621,19962.531709286035,austin,tx,30.24567279999999,-97.7688358,austin-tx
3,78752,18064,5408.383233532934,9863.015445084146,austin,tx,30.3317278,-97.705158,austin-tx
4,78753,49301,4494.165907019143,11084.087787265978,austin,tx,30.3889868,-97.67108890000002,austin-tx
5,78759,38891,2793.89367816092,29661.734488699185,austin,tx,30.401356,-97.75253520000001,austin-tx
6,78745,55614,4165.842696629214,15985.521145754668,austin,tx,30.215386900000002,-97.7960118,austin-tx
7,78701,6841,4196.932515337424,35962.1030551089,austin,tx,30.2729209,-97.74438630000002,austin-tx
8,78731,24614,2865.4249126891737,33912.567685057285,austin,tx,30.354240899999997,-97.7742702,austin-tx
9,78702,21334,4266.8,11402.660166869786,austin,tx,30.260353499999997,-97.7145152,austin-tx
10,78750,26814,2001.044776119403,28217.772581487287,austin,tx,30.427069899999996,-97.80144820000001,austin-tx
11,78748,40651,3208.4451460142072,20259.50387444343,austin,tx,30.168207000000002,-97.81776009999999,austin-tx
12,78758,44072,4749.137931034483,13389.352854420042,austin,tx,30.3870686,-97.7036561,austin-tx
13,78705,31340,14245.454545454544,4696.842820676452,austin,tx,30.2961708,-97.7389543,austin-tx
14,78723,28330,4082.1325648414977,12591.791069537592,austin,tx,30.308130699999996,-97.681943,austin-tx
15,78722,5901,3907.947019867549,18694.286731062533,austin,tx,30.2920434,-97.71180030000001,austin-tx
16,78712,860,2687.5,,austin,tx,30.283515100000002,-97.7348805,austin-tx
17,78749,34449,3420.953326713009,26557.01468837992,austin,tx,30.217545299999998,-97.85583570000001,austin-tx
18,78757,21310,4331.30081300813,20908.199718442047,austin,tx,30.3568213,-97.730807,austin-tx
19,78735,16131,784.963503649635,39056.82921083628,austin,tx,30.2573497,-97.8612767,austin-tx
20,78751,14385,5993.75,17010.696976016683,austin,tx,30.3055711,-97.725376,austin-tx
21,78730,7955,552.8144544822793,53828.17536140792,austin,tx,30.373251399999997,-97.8395151,austin-tx
22,78728,20299,2502.959309494452,19005.422040494606,austin,tx,30.4570672,-97.681943,austin-tx
23,78703,19690,3528.673835125448,36330.241391569325,austin,tx,30.2915328,-97.7688358,austin-tx
24,78727,26689,3110.606060606061,25689.91074974709,austin,tx,30.432242,-97.7145152,austin-tx
25,78660,68789,1518.5209713024285,20005.032417973805,pflugerville,tx,30.4332061,-97.6005786,pflugerville-tx
26,78653,16375,155.99695150995527,16089.745343511453,manor,tx,30.333222499999998,-97.5463885,manor-tx
27,78664,52932,3196.376811594203,20197.389084107912,round rock,tx,30.5041381,-97.6602365,round rock-tx
28,78717,22538,1751.2043512043513,31913.680317685685,austin,tx,30.491657699999998,-97.7742702,austin-tx
29,78729,27108,2936.9447453954494,22220.952301903497,austin,tx,30.4646593,-97.7471025,austin-tx
30,78734,17655,880.988023952096,34214.23749645993,austin,tx,30.366666499999997,-97.94838979999999,austin-tx
31,78719,1764,94.58445040214478,9581.256802721091,austin,tx,30.159025300000003,-97.681943,austin-tx
32,78724,21696,889.1803278688525,8034.510186209441,austin,tx,30.294426899999998,-97.62226650000001,austin-tx
33,78681,50606,2328.8541187298665,25507.430166383438,round rock,tx,30.5184228,-97.7090854,round rock-tx
34,78721,11425,3079.514824797844,8817.162888402625,austin,tx,30.273736600000003,-97.681943,austin-tx
35,78726,13122,1207.1757129714813,28917.638088705986,austin,tx,30.419061600000003,-97.8395151,austin-tx
36,78613,65099,2317.51512993948,24476.53503126008,cedar park,tx,30.5119418,-97.81776009999999,cedar park-tx
37,78732,14060,1061.132075471698,37628.6560455192,austin,tx,30.3788578,-97.89237490000001,austin-tx
38,78733,8762,764.5724258289702,40205.65795480484,austin,tx,30.33151879999999,-97.8667182,austin-tx
39,78738,12134,714.6054181389869,42024.51433987144,austin,tx,30.2966026,-97.9701846,austin-tx
40,78736,6946,239.59986202138668,26024.645119493238,austin,tx,30.25208559999999,-97.94838979999999,austin-tx
41,78610,23502,254.40571552284047,20726.62109607693,buda,tx,30.0817354,-97.8429545,buda-tx
42,78737,12081,316.3393558523174,31072.512871451036,austin,tx,30.18196499999999,-97.9701846,austin-tx
43,78640,42954,468.6231725943706,15723.494086697398,kyle,tx,29.996651399999998,-97.80688509999999,kyle-tx
44,78756,7194,4307.784431137725,27751.40075062552,austin,tx,30.3248256,-97.7389543,austin-tx
